pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,828.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,845.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,854.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,847.3
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,847.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,838.1
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,829.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,830.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,847.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,854.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,846.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,849.03
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,841.3
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,834.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,839.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,851.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,859.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,850.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,851.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,841.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,836.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,838.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,850.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,851.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,851.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,850.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,851.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,839.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,802.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,813.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,815.75
